cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,compressive_strength,source_label
137.598,0.0,84.463,129.764,0.0,942.907,668.176,28,3.822,DETERMINISTIC_FALLBACK_NOT_UCI
276.242,279.556,143.306,231.923,0.0,834.367,773.796,56,28.464,DETERMINISTIC_FALLBACK_NOT_UCI
273.538,130.567,0.0,192.305,28.762,880.086,718.413,14,20.917,DETERMINISTIC_FALLBACK_NOT_UCI
454.855,0.0,0.0,228.685,31.724,865.764,747.866,56,53.376,DETERMINISTIC_FALLBACK_NOT_UCI
438.395,272.652,39.169,212.779,18.962,887.847,690.181,28,50.143,DETERMINISTIC_FALLBACK_NOT_UCI
224.829,0.0,0.0,215.682,0.0,833.725,697.869,14,2.706,DETERMINISTIC_FALLBACK_NOT_UCI
421.045,335.397,109.115,125.314,2.974,912.7,855.153,90,59.198,DETERMINISTIC_FALLBACK_NOT_UCI
332.952,0.0,87.205,220.408,0.0,1052.868,761.159,7,13.153,DETERMINISTIC_FALLBACK_NOT_UCI
374.851,0.0,0.0,187.521,0.0,884.575,915.742,1,3.098,DETERMINISTIC_FALLBACK_NOT_UCI
513.811,220.852,0.0,214.006,31.605,1123.257,861.058,28,57.172,DETERMINISTIC_FALLBACK_NOT_UCI
475.93,178.408,0.0,204.594,0.0,845.991,706.409,365,51.86,DETERMINISTIC_FALLBACK_NOT_UCI
288.699,0.0,74.753,185.61,9.34,997.456,856.939,100,33.96,DETERMINISTIC_FALLBACK_NOT_UCI
500.494,241.686,0.0,243.696,2.512,876.712,793.771,90,53.652,DETERMINISTIC_FALLBACK_NOT_UCI
364.107,0.0,0.0,211.845,6.192,1003.125,971.053,90,22.773,DETERMINISTIC_FALLBACK_NOT_UCI
278.15,187.4,79.934,163.471,8.937,1085.72,962.094,28,34.357,DETERMINISTIC_FALLBACK_NOT_UCI
503.19,288.543,0.0,232.551,18.602,1137.25,713.532,365,61.708,DETERMINISTIC_FALLBACK_NOT_UCI
287.684,0.0,0.0,159.319,0.0,893.43,899.502,90,30.448,DETERMINISTIC_FALLBACK_NOT_UCI
377.405,232.032,167.865,151.99,4.452,1000.084,621.309,56,50.354,DETERMINISTIC_FALLBACK_NOT_UCI
359.095,0.0,0.0,194.533,26.292,943.786,828.415,28,31.225,DETERMINISTIC_FALLBACK_NOT_UCI
492.441,179.362,0.0,206.823,0.0,893.454,869.274,28,46.329,DETERMINISTIC_FALLBACK_NOT_UCI
227.435,98.579,171.581,167.789,17.106,1138.641,751.072,100,31.805,DETERMINISTIC_FALLBACK_NOT_UCI
166.712,0.0,93.009,203.683,28.4,855.129,830.661,1,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
136.832,0.0,85.767,203.741,16.146,983.653,776.571,7,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
188.701,0.0,155.361,227.794,11.468,1075.068,805.471,7,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
362.115,0.0,112.288,181.598,20.959,1046.842,746.975,7,38.326,DETERMINISTIC_FALLBACK_NOT_UCI
360.006,0.0,146.29,214.848,0.0,981.614,983.786,90,40.869,DETERMINISTIC_FALLBACK_NOT_UCI
336.95,231.389,0.0,181.205,0.0,895.989,913.634,28,30.508,DETERMINISTIC_FALLBACK_NOT_UCI
479.661,262.816,26.935,203.939,17.788,1016.178,726.772,28,54.299,DETERMINISTIC_FALLBACK_NOT_UCI
